Text,GroundTruth
I love the new design of this website.,Positive
The customer service was terrible.,Negative
"The event was okay, but nothing special.",Neutral
This product exceeded my expectations.,Positive
The delivery was late and the item was damaged.,Negative
The tutorial was helpful and easy to follow.,Positive
The experience was neither good nor bad.,Neutral
I would never buy from this store again.,Negative
Fantastic quality and fast shipping!,Positive
The presentation was average.,Neutral
The movie was boring and too long.,Negative
The support team was responsive and kind.,Positive
The food was cold when it arrived.,Negative
It was a decent experience overall.,Neutral
I’m very happy with my purchase.,Positive
The instructions were unclear and confusing.,Negative
The hotel was clean and the staff were friendly.,Positive
The weather was just okay today.,Neutral
"Terrible user interface, very frustrating.",Negative
"This is exactly what I needed, thank you!",Positive
The class was neither informative nor boring.,Neutral
The product broke after one use.,Negative
I am impressed with the speed and quality.,Positive
The explanation was fine but could be clearer.,Neutral
I didn’t like the service at all.,Negative
Great app! Easy to use and reliable.,Positive
The experience was underwhelming.,Negative
"The meeting was standard, nothing special.",Neutral
I enjoyed the workshop thoroughly.,Positive
The device failed to start multiple times.,Negative
"The staff did their job, but nothing extra.",Neutral
Absolutely loved the performance!,Positive
It was a disappointing meal.,Negative
The instructions were sufficient.,Neutral
The packaging was beautiful and secure.,Positive
The appointment started late.,Negative
The update was acceptable but not exciting.,Neutral
Brilliant support and excellent follow-up.,Positive
The flight was delayed by several hours.,Negative
The service was neither slow nor fast.,Neutral
"Everything worked perfectly, very satisfied.",Positive
I found several bugs in the software.,Negative
The pace of the course was just right.,Neutral
The new version is significantly improved!,Positive
The store layout was confusing and annoying.,Negative
The training was okay but could have been more engaging.,Neutral
Very helpful and knowledgeable staff.,Positive
The sound quality was poor.,Negative
The performance met expectations.,Neutral
